0,1,2,3,4,5,lat,lon
Anthoupoli †,Ανθούπολη,,Peristeri,6 April 2013[8],,38.016980,23.690985
Peristeri,Περιστέρι,,Peristeri,6 April 2013[8],,38.012785,23.695845
Aghios Antonios,Άγιος Αντώνιος,,Peristeri,9 August 2004[9],,38.006200,23.699565
Sepolia,Σεπόλια,,Athens,28 January 2000[10],,38.002675,23.713540
Attiki #,Αττική,,Athens,28 January 2000[a][10],Interchange with Line 1.,37.999230,23.722350
Larissa Station #,Σταθμός Λαρίσης,,Athens,28 January 2000[b][10],Interchange with the Athens Suburban Railway and Hellenic Train at Athens.,37.992140,23.721200
Metaxourghio,Μεταξουργείο,,Athens,28 January 2000[10],,37.986770,23.720710
Omonia #,Ομόνοια,,Athens,28 January 2000[c][10],Interchange with Line 1.,37.984030,23.727970
Panepistimio,Πανεπιστήμιο,,Athens,28 January 2000[10],,37.980235,23.732985
Syntagma #,Σύνταγμα,,Athens,28 January 2000[10],Interchange with Line 3 and the Athens Tram.,37.974790,23.735535
Akropoli,Ακρόπολη,,Athens,15 November 2000[12],,37.968675,23.729410
Sygrou–Fix #,Συγγρού–Φίξ,,Athens,15 November 2000[12],Interchange with the Athens Tram at Fix.,37.964245,23.726410
Neos Kosmos #,Νέος Κόσμος,,Athens,15 November 2000[12],Interchange with the Athens Tram.,37.957655,23.728335
Aghios Ioannis,Άγιος Ιωάννης,,Athens,15 November 2000[12],,37.956315,23.734575
Dafni,Δάφνη,,Agios DimitriosDafni-Ymittos,15 November 2000[12],,37.949160,23.737245
Aghios DimitriosAlexandros Panagoulis,Άγιος ΔημήτριοςΑλέξανδρος Παναγούλης,,Agios DimitriosIlioupoli,5 June 2004[9],,37.940150,23.740645
IlioupoliGrigoris Lambrakis,ΗλιούποληΓρηγόρης Λαμπράκης,,Agios DimitriosIlioupoli,26 July 2013[13],This station originally opened without the Grigoris Lambrakis qualifier: the station adopted the current name on 22 May 2015.[14],37.929260,23.744715
Alimos,Άλιμος,,Alimos,26 July 2013[13],,37.918160,23.744060
Argyroupoli,Αργυρούπολη,,Elliniko-Argyroupoli,26 July 2013[13],,37.902575,23.745540
Elliniko †,Ελληνικό,,Elliniko-Argyroupoli,26 July 2013[13],,37.892715,23.747035
