0,1,2,3,4,5,lat,lon
Dimotiko Theatro †#,Δημοτικό Θέατρο,,Piraeus,10 October 2022[9],Interchange with the Athens Tram at Dimarcheio.,37.942905,23.647350
Piraeus †#,Πειραιάς,,Piraeus,10 October 2022[d][9],Interchange with Line 1 and the Athens Suburban Railway.,37.948100,23.642265
Maniatika,Μανιάτικα,,Piraeus,10 October 2022[9],,37.959545,23.639780
Nikaia,Νίκαια,,Nikaia-Agios Ioannis Rentis,7 July 2020[19],,37.965745,23.647550
Korydallos,Κορυδαλλός,,Korydallos,7 July 2020[19],,37.977050,23.650405
Agia Varvara,Αγία Βαρβάρα,,Agia Varvara,7 July 2020[19],,37.989710,23.659320
Agia Marina,Αγία Μαρίνα,,Agia Varvara,14 December 2013[20],,37.996860,23.667130
Egaleo,Αιγάλεω,,Aigaleo,26 May 2007[21],,37.991420,23.681690
Eleonas,Ελαιώνας,,Aigaleo,26 May 2007[21],,37.987725,23.693375
Kerameikos,Κεραμεικός,,Athens,26 May 2007[21],,37.978715,23.710940
Monastiraki #,Μοναστηράκι,,Athens,22 April 2003[e][22],"Interchange with Line 1.Some platform signs on Line 1 use the station's Katharevousa name, ""Monastirion"" (Greek: Μοναστήριον).[23]",37.976615,23.725905
Syntagma #,Σύνταγμα,,Athens,28 January 2000[7],Interchange with Line 2 and the Athens Tram.,37.974790,23.735535
Evangelismos,Ευαγγελισμός,,Athens,28 January 2000[7],,37.975900,23.746560
Megaro Moussikis,Μέγαρο Μουσικής,,Athens,28 January 2000[7],,37.979370,23.753515
Ambelokipi,Αμπελόκηποι,,Athens,28 January 2000[7],,37.986945,23.757600
Panormou,Πανόρμου,,Athens,28 January 2000[7],,37.993030,23.763530
Katehaki,Κατεχάκη,,Athens,28 January 2000[7],,37.993445,23.776965
Ethniki Amyna,Εθνική Άμυνα,,AthensPapagou-Cholargos,28 January 2000[7],,37.999475,23.784810
Holargos,Χολαργός,,ChalandriPapagou-Cholargos,23 July 2010[24],This station opened after the extension to Chalandri.,38.004710,23.794355
Nomismatokopio,Νομισματοκοπείο,,Agia ParaskeviChalandri,2 September 2009[25],This station opened after the extension to Chalandri.,38.009425,23.805970
Aghia Paraskevi,Αγία Παρασκευή,,Chalandri,30 December 2010[26],This station opened after the extension to Chalandri.,38.017380,23.812765
Halandri,Χαλάνδρι,,Chalandri,24 July 2004[27],,38.021755,23.821185
Doukissis Plakentias[f] †#,Δουκίσσης Πλακεντίας,,Chalandri,28 July 2004[27],Interchange with the Athens Suburban Railway at Plakentias.,38.023965,23.832545
Pallini ¤#,Παλλήνη,,Pallini,September 2006[g],Interchange with the Athens Suburban Railway.This station is operated by GAIAOSE.,38.005100,23.869825
Paiania–Kantza ¤#,Παιανία - Κάντζα,,Paiania,10 July 2006[g][28],Interchange with the Athens Suburban Railway.This station is operated by GAIAOSE.,37.984485,23.870020
Koropi ¤#,Κορωπί,,Kropia,10 July 2006[g][28],Interchange with the Athens Suburban Railway.This station is operated by GAIAOSE.,37.912860,23.895860
Athens International Airport ¤†#,Διεθνής Αερολιμένας Αθηνών,,Spata-Artemida,30 July 2004[27],Interchange with the Athens Suburban Railway.This station is operated by Athens International Airport S.A.,37.936890,23.944700
